store,week,category,subcategory,unit,consumption,waste,consumption_with_waste
Qargo Coffee **Lab-01**,2025-12-29/2026-01-04,Coffee,,g,119.0,8.33,127.33
Qargo Coffee **Lab-01**,2025-12-29/2026-01-04,Coffee,,ml,473.926,33.174820000000004,507.10082
Qargo Coffee **Lab-01**,2025-12-29/2026-01-04,Dairy,Milk,ml,177.441,12.42087,189.86187
Qargo Coffee **Lab-01**,2025-12-29/2026-01-04,Syrups,Syrup (Optional),pump,20.0,0.0,20.0
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Coffee,,g,1230.0,86.10000000000001,1316.1
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Coffee,,ml,15969.69,1117.8783,17087.5683
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Dairy,Cold Milk,ml,473.176,33.12232,506.29832
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Dairy,Greek Yogurt,g,2.0,0.14,2.14
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Dairy,Milk,ml,34689.7155,2428.2800850000003,37117.995585
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Dairy,Whipped Cream (Optional),ml,1.0,0.07,1.07
Qargo Coffee **Lab-01**,2026-01-05/2026-01-11,Syrups,Syrup (Optional),pump,210.0,0.0,210.0
Qargo Coffee **Lab-01**,2026-01-12/2026-01-18,Coffee,,g,396.0,27.720000000000002,423.72
Qargo Coffee **Lab-01**,2026-01-12/2026-01-18,Coffee,,ml,1183.19,82.82330000000002,1266.0133
Qargo Coffee **Lab-01**,2026-01-12/2026-01-18,Dairy,Milk,ml,2365.88,165.6116,2531.4916000000003
Qargo Coffee **Lab-01**,2026-01-12/2026-01-18,Syrups,Syrup (Optional),pump,32.0,0.0,32.0
Qargo Coffee **Lab-01**,2026-01-19/2026-01-25,Coffee,,g,170.0,11.9,181.9
Qargo Coffee **Lab-01**,2026-01-19/2026-01-25,Coffee,,ml,591.47,41.4029,632.8729000000001
Qargo Coffee **Lab-01**,2026-01-19/2026-01-25,Dairy,Milk,ml,1301.234,91.08638,1392.32038
Qargo Coffee **Lab-01**,2026-01-19/2026-01-25,Syrups,Syrup (Optional),pump,18.0,0.0,18.0
Qargo Coffee **Lab-01**,2026-01-26/2026-02-01,Coffee,,g,226.0,15.820000000000002,241.82
Qargo Coffee **Lab-01**,2026-01-26/2026-02-01,Dairy,Milk,ml,1182.94,82.8058,1265.7458000000001
Qargo Coffee **Lab-01**,2026-01-26/2026-02-01,Syrups,Dragon Fruit Syrup,pump,12.0,0.0,12.0
Qargo Coffee **Lab-01**,2026-01-26/2026-02-01,Syrups,Syrup (Optional),pump,14.0,0.0,14.0
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Coffee,,g,252.0,17.64,269.64
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Coffee,,ml,473.176,33.12232,506.29832
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Dairy,Milk,ml,384.4555,26.911885,411.36738499999996
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Dairy,Whipped Cream (Optional),ml,1.0,0.07,1.07
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Syrups,Coconut Syrup,pump,4.0,0.0,4.0
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Syrups,Syrup (Customer's Choice),pump,4.0,0.0,4.0
Qargo Coffee **Lab-01**,2026-02-02/2026-02-08,Syrups,Syrup (Optional),pump,4.0,0.0,4.0
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Coffee,,g,359.0,25.130000000000003,384.13
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Coffee,,ml,1538.0720000000001,107.66504000000002,1645.7370400000002
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Dairy,Milk,ml,1596.969,111.78783000000001,1708.75683
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Dairy,Whipped Cream (Optional),ml,2.0,0.14,2.14
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Syrups,Chocolate Sauce,pump,2.0,0.0,2.0
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Syrups,Syrup (Customer's Choice),pump,4.0,0.0,4.0
Qargo Coffee **Lab-01**,2026-02-09/2026-02-15,Syrups,Syrup (Optional),pump,32.0,0.0,32.0
Qargo Coffee **Lab-01**,2026-02-16/2026-02-22,Coffee,,g,197.0,13.790000000000001,210.79
Qargo Coffee **Lab-01**,2026-02-16/2026-02-22,Coffee,,ml,1774.41,124.20870000000002,1898.6187
Qargo Coffee **Lab-01**,2026-02-16/2026-02-22,Dairy,Milk,ml,621.0435,43.473045000000006,664.516545
Qargo Coffee **Lab-01**,2026-02-16/2026-02-22,Syrups,Syrup (Optional),pump,23.0,0.0,23.0
Qargo Coffee **Lab-01**,2026-02-23/2026-03-01,Coffee,,g,255.0,17.85,272.85
Qargo Coffee **Lab-01**,2026-02-23/2026-03-01,Dairy,Milk,ml,1242.087,86.94609000000001,1329.03309
Qargo Coffee **Lab-01**,2026-02-23/2026-03-01,Syrups,Syrup (Optional),pump,15.0,0.0,15.0
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Coffee,,g,85.0,5.95,90.95
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Coffee,,ml,1064.646,74.52522,1139.17122
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Dairy,Cream Base,g,7.0,0.49000000000000005,7.49
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Dairy,Milk,ml,650.617,45.54319,696.16019
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Syrups,Dragon Fruit Syrup,pump,5.0,0.0,5.0
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Syrups,Rose Syrup,pump,5.0,0.0,5.0
Qargo Coffee **Lab-01**,2026-03-02/2026-03-08,Syrups,Syrup (Optional),pump,12.0,0.0,12.0
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Coffee,,g,1263.0,88.41000000000001,1351.41
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Coffee,,ml,3548.8200000000006,248.41740000000007,3797.237400000001
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Dairy,Coconut Cold Foam,ml,147.8675,10.350725,158.21822500000002
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Dairy,Milk,ml,7925.697999999999,554.79886,8480.49686
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Dairy,Whipped Cream,ml,2.0,0.14,2.14
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Dairy,Whipped Cream (Optional),ml,2.0,0.14,2.14
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Syrups,Chocolate Sauce,pump,6.0,0.0,6.0
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Syrups,Coconut Syrup,pump,9.0,0.0,9.0
Qargo Coffee **Lab-01**,2026-03-09/2026-03-15,Syrups,Syrup (Optional),pump,74.0,0.0,74.0
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Coffee,,g,785.0,54.95,839.95
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Coffee,,ml,2484.174,173.89218000000002,2658.06618
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Dairy,Cold Milk,ml,591.47,41.4029,632.8729000000001
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Dairy,Milk,ml,2454.6005,171.82203500000003,2626.422535
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Syrups,Coconut Syrup,pump,3.0,0.0,3.0
Qargo Coffee **Lab-01**,2026-03-16/2026-03-22,Syrups,Syrup (Optional),pump,61.0,0.0,61.0
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Coffee,,g,678.0,47.46000000000001,725.46
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Coffee,,ml,1182.94,82.8058,1265.7458000000001
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Dairy,Coconut Cold Foam,ml,221.80125,15.526087500000003,237.3273375
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Dairy,Milk,ml,2691.1885,188.38319500000003,2879.571695
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Syrups,Coconut Syrup,pump,13.0,0.0,13.0
Qargo Coffee **Lab-01**,2026-03-23/2026-03-29,Syrups,Syrup (Optional),pump,35.0,0.0,35.0
Qargo Coffee **Lab-01**,2026-04-06/2026-04-12,Coffee,,g,309.0,21.630000000000003,330.63
Qargo Coffee **Lab-01**,2026-04-06/2026-04-12,Coffee,,ml,1182.94,82.8058,1265.7458000000001
Qargo Coffee **Lab-01**,2026-04-06/2026-04-12,Dairy,Milk,ml,517.53625,36.227537500000004,553.7637875
Qargo Coffee **Lab-01**,2026-04-06/2026-04-12,Syrups,Syrup (Optional),pump,15.0,0.0,15.0
Qargo Coffee **Lab-01**,2026-04-13/2026-04-19,Coffee,,g,396.0,27.720000000000002,423.72
Qargo Coffee **Lab-01**,2026-04-13/2026-04-19,Dairy,Cold Cappuccino Foam,ml,59.147,4.14029,63.28729
Qargo Coffee **Lab-01**,2026-04-13/2026-04-19,Dairy,Cold Milk,ml,177.441,12.42087,189.86187
Qargo Coffee **Lab-01**,2026-04-13/2026-04-19,Dairy,Milk,ml,1123.7930000000001,78.66551000000001,1202.4585100000002
Qargo Coffee **Lab-01**,2026-04-13/2026-04-19,Syrups,Syrup (Optional),pump,23.0,0.0,23.0
Qargo Coffee **Lab-01**,2026-04-20/2026-04-26,Coffee,,g,77.0,5.390000000000001,82.39
Qargo Coffee **Lab-01**,2026-04-20/2026-04-26,Dairy,Cold Milk,ml,236.588,16.56116,253.14916
Qargo Coffee **Lab-01**,2026-04-20/2026-04-26,Dairy,Milk,ml,473.176,33.12232,506.29832
Qargo Coffee **Lab-01**,2026-04-20/2026-04-26,Syrups,Syrup (Optional),pump,7.0,0.0,7.0
Qargo Coffee **Lab-01**,2026-04-27/2026-05-03,Coffee,,g,85.0,5.95,90.95
Qargo Coffee **Lab-01**,2026-04-27/2026-05-03,Coffee,,ml,295.735,20.70145,316.43645000000004
Qargo Coffee **Lab-01**,2026-04-27/2026-05-03,Dairy,Coconut Cold Foam,ml,73.93375,5.1753625,79.10911250000001
Qargo Coffee **Lab-01**,2026-04-27/2026-05-03,Dairy,Milk,ml,561.8965000000001,39.332755000000006,601.2292550000001
Qargo Coffee **Lab-01**,2026-04-27/2026-05-03,Syrups,Coconut Syrup,pump,5.0,0.0,5.0
Qargo Coffee **Lab-01**,2026-05-04/2026-05-10,Coffee,,g,196.0,13.72,209.72
Qargo Coffee **Lab-01**,2026-05-04/2026-05-10,Dairy,Cold Milk,ml,236.588,16.56116,253.14916
Qargo Coffee **Lab-01**,2026-05-04/2026-05-10,Dairy,Milk,ml,473.176,33.12232,506.29832
Qargo Coffee **Lab-01**,2026-05-04/2026-05-10,Dairy,Whipped Cream,ml,1.0,0.07,1.07
Qargo Coffee **Lab-01**,2026-05-04/2026-05-10,Syrups,Syrup (Optional),pump,10.0,0.0,10.0
Qargo Coffee **Lab-01**,2026-05-11/2026-05-17,Coffee,,g,310.0,21.700000000000003,331.7
Qargo Coffee **Lab-01**,2026-05-11/2026-05-17,Dairy,Cold Milk,ml,650.617,45.54319,696.16019
Qargo Coffee **Lab-01**,2026-05-11/2026-05-17,Dairy,Milk,ml,768.9110000000001,53.82377000000001,822.73477
Qargo Coffee **Lab-01**,2026-05-11/2026-05-17,Syrups,Syrup (Optional),pump,20.0,0.0,20.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Coffee,,g,16817.0,1177.19,17994.19
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Coffee,,ml,53589.432,3751.2602400000005,57340.692240000004
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Coconut Cold Foam,ml,813.2712500000001,56.92898750000001,870.2002375000002
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Cold Milk,ml,20405.715,1428.4000500000002,21834.11505
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Cream Base,g,3.5,0.24500000000000002,3.745
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Greek Yogurt,g,2.0,0.14,2.14
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Milk,ml,69468.15149999999,4862.770605,74330.92210499999
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Whipped Cream,ml,2.0,0.14,2.14
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Dairy,Whipped Cream (Optional),ml,42.0,2.9400000000000004,44.94
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Specialty Milk,Almond Milk,ml,88.7205,6.210435,94.930935
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Specialty Milk,Coconut Milk,ml,88.7205,6.210435,94.930935
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Chocolate Sauce,pump,89.0,0.0,89.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Coconut Syrup,pump,41.0,0.0,41.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Dragon Fruit Syrup,pump,9.0,0.0,9.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Hazelnut Syrup,pump,3.0,0.0,3.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Sweetner syrup (optional),pump,49.0,0.0,49.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Syrup (Customer's Choice),pump,21.0,0.0,21.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2025-12-29/2026-01-04,Syrups,Syrup (Optional),pump,1248.0,0.0,1248.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Coffee,,g,28833.0,2018.3100000000002,30851.31
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Coffee,,ml,67550.124,4728.50868,72278.63268
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Dairy,Coconut Cold Foam,ml,1109.00625,77.6304375,1186.6366874999999
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Dairy,Cold Cappuccino Foam,ml,118.294,8.28058,126.57458
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-05/2026-01-11,Dairy,Cold Milk,ml,45602.337,3192.16359,48794.500589999996
