store,category,subcategory,unit,avg_weekly_consumption,weeks_with_data
Qargo Coffee **Lab-01**,Coffee,,g,416.06105263157895,19
Qargo Coffee **Lab-01**,Coffee,,ml,2614.354786923077,19
Qargo Coffee **Lab-01**,Dairy,Coconut Cold Foam,ml,158.218225,19
Qargo Coffee **Lab-01**,Dairy,Cold Cappuccino Foam,ml,63.28729,19
Qargo Coffee **Lab-01**,Dairy,Cold Milk,ml,421.9152666666667,19
Qargo Coffee **Lab-01**,Dairy,Cream Base,g,7.49,19
Qargo Coffee **Lab-01**,Dairy,Greek Yogurt,g,2.14,19
Qargo Coffee **Lab-01**,Dairy,Milk,ml,3446.6591224999997,19
Qargo Coffee **Lab-01**,Dairy,Whipped Cream,ml,1.605,19
Qargo Coffee **Lab-01**,Dairy,Whipped Cream (Optional),ml,1.605,19
Qargo Coffee **Lab-01**,Plastic goods,cup_12oz,cup,3.090909090909091,19
Qargo Coffee **Lab-01**,Plastic goods,cup_16oz,cup,2.25,19
Qargo Coffee **Lab-01**,Plastic goods,cup_20oz,cup,13.0,19
Qargo Coffee **Lab-01**,Plastic goods,cup_24oz,cup,1.2,19
Qargo Coffee **Lab-01**,Plastic goods,lid,lid,14.473684210526315,19
Qargo Coffee **Lab-01**,Plastic goods,napkin,napkin,13.0,19
Qargo Coffee **Lab-01**,Plastic goods,sleeve,sleeve,11.105263157894736,19
Qargo Coffee **Lab-01**,Plastic goods,straw,straw,2.2857142857142856,19
Qargo Coffee **Lab-01**,Syrups,Chocolate Sauce,pump,4.0,19
Qargo Coffee **Lab-01**,Syrups,Coconut Syrup,pump,6.8,19
Qargo Coffee **Lab-01**,Syrups,Dragon Fruit Syrup,pump,8.5,19
Qargo Coffee **Lab-01**,Syrups,Rose Syrup,pump,5.0,19
Qargo Coffee **Lab-01**,Syrups,Syrup (Customer's Choice),pump,4.0,19
Qargo Coffee **Lab-01**,Syrups,Syrup (Optional),pump,34.72222222222222,19
"Qargo Coffee 707 E Ocean, Long Beach, CA",Coffee,,g,31296.403250000003,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Coffee,,ml,85516.29839400001,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Coconut Cold Foam,ml,2262.5206175,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Cold Cappuccino Foam,ml,147.67034333333334,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Cold Milk,ml,44930.811535500005,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Cream Base,g,15.354500000000002,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Greek Yogurt,g,23.54,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Milk,ml,101410.762404875,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Whipped Cream,ml,1.6050000000000002,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Dairy,Whipped Cream (Optional),ml,65.0025,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,cup_12oz,cup,51.35,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,cup_16oz,cup,508.2,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,cup_20oz,cup,196.65,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,cup_24oz,cup,55.8,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,lid,lid,812.0,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,napkin,napkin,753.7,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,sleeve,sleeve,431.1,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Plastic goods,straw,straw,313.3,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Specialty Milk,Almond Milk,ml,459.66558000000003,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Specialty Milk,Coconut Milk,ml,541.4579255555556,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Chocolate Sauce,pump,130.7,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Coconut Syrup,pump,115.5,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Dragon Fruit Syrup,pump,55.05,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Hazelnut Syrup,pump,14.526315789473685,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Rose Syrup,pump,6.833333333333333,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Sweetner syrup (optional),pump,72.45,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Syrup (Customer's Choice),pump,50.05,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Syrup (Optional),pump,2102.85,20
"Qargo Coffee 707 E Ocean, Long Beach, CA",Syrups,Vanilla Syrup,pump,5.0,20
"Qargo Coffee Dearborn, MI",Coffee,,g,44918.03825,20
"Qargo Coffee Dearborn, MI",Coffee,,ml,44318.802833,20
"Qargo Coffee Dearborn, MI",Dairy,Coconut Cold Foam,ml,1445.0597883333332,20
"Qargo Coffee Dearborn, MI",Dairy,Cold Cappuccino Foam,ml,246.1172388888889,20
"Qargo Coffee Dearborn, MI",Dairy,Cold Milk,ml,99993.9182,20
"Qargo Coffee Dearborn, MI",Dairy,Cream Base,g,80.143,20
"Qargo Coffee Dearborn, MI",Dairy,Greek Yogurt,g,45.047000000000004,20
"Qargo Coffee Dearborn, MI",Dairy,Milk,ml,144965.86647399998,20
"Qargo Coffee Dearborn, MI",Dairy,Whipped Cream,ml,5.631578947368421,20
"Qargo Coffee Dearborn, MI",Dairy,Whipped Cream (Optional),ml,141.882,20
"Qargo Coffee Dearborn, MI",Plastic goods,cup_12oz,cup,198.15,20
"Qargo Coffee Dearborn, MI",Plastic goods,cup_16oz,cup,636.95,20
"Qargo Coffee Dearborn, MI",Plastic goods,cup_20oz,cup,390.65,20
"Qargo Coffee Dearborn, MI",Plastic goods,cup_24oz,cup,49.7,20
"Qargo Coffee Dearborn, MI",Plastic goods,lid,lid,1275.45,20
"Qargo Coffee Dearborn, MI",Plastic goods,napkin,napkin,1106.35,20
"Qargo Coffee Dearborn, MI",Plastic goods,sleeve,sleeve,480.5,20
"Qargo Coffee Dearborn, MI",Plastic goods,straw,straw,578.15,20
"Qargo Coffee Dearborn, MI",Specialty Milk,Almond Milk,ml,501.0243791666666,20
"Qargo Coffee Dearborn, MI",Specialty Milk,Coconut Milk,ml,444.59321225,20
"Qargo Coffee Dearborn, MI",Syrups,Chocolate Sauce,pump,251.75,20
"Qargo Coffee Dearborn, MI",Syrups,Cinnamon Syrup,pump,3.6666666666666665,20
"Qargo Coffee Dearborn, MI",Syrups,Coconut Syrup,pump,71.7,20
"Qargo Coffee Dearborn, MI",Syrups,Dragon Fruit Syrup,pump,293.35,20
"Qargo Coffee Dearborn, MI",Syrups,Ginger Syrup,pump,3.6666666666666665,20
"Qargo Coffee Dearborn, MI",Syrups,Hazelnut Syrup,pump,15.833333333333334,20
"Qargo Coffee Dearborn, MI",Syrups,Pure Cane Syrup,pump,3.0,20
"Qargo Coffee Dearborn, MI",Syrups,Rose Syrup,pump,17.95,20
"Qargo Coffee Dearborn, MI",Syrups,Sweetner syrup (optional),pump,306.5,20
"Qargo Coffee Dearborn, MI",Syrups,Syrup (Customer's Choice),pump,131.9,20
"Qargo Coffee Dearborn, MI",Syrups,Syrup (Optional),pump,2422.05,20
"Qargo Coffee Dearborn, MI",Syrups,Vanilla Syrup,pump,17.35,20
"Qargo Coffee Detroit, MI",Coffee,,g,24781.92225,20
"Qargo Coffee Detroit, MI",Coffee,,ml,88283.7932065,20
"Qargo Coffee Detroit, MI",Dairy,Coconut Cold Foam,ml,820.7570421875,20
"Qargo Coffee Detroit, MI",Dairy,Cold Cappuccino Foam,ml,79.1091125,20
"Qargo Coffee Detroit, MI",Dairy,Cold Milk,ml,36681.313284,20
"Qargo Coffee Detroit, MI",Dairy,Cream Base,g,23.258421052631576,20
"Qargo Coffee Detroit, MI",Dairy,Greek Yogurt,g,25.4125,20
"Qargo Coffee Detroit, MI",Dairy,Milk,ml,103601.29373,20
"Qargo Coffee Detroit, MI",Dairy,Whipped Cream,ml,1.284,20
"Qargo Coffee Detroit, MI",Dairy,Whipped Cream (Optional),ml,95.6045,20
"Qargo Coffee Detroit, MI",Plastic goods,cup_12oz,cup,32.85,20
"Qargo Coffee Detroit, MI",Plastic goods,cup_16oz,cup,302.1,20
"Qargo Coffee Detroit, MI",Plastic goods,cup_20oz,cup,215.9,20
"Qargo Coffee Detroit, MI",Plastic goods,cup_24oz,cup,150.0,20
"Qargo Coffee Detroit, MI",Plastic goods,lid,lid,700.85,20
"Qargo Coffee Detroit, MI",Plastic goods,napkin,napkin,637.25,20
"Qargo Coffee Detroit, MI",Plastic goods,sleeve,sleeve,403.85,20
"Qargo Coffee Detroit, MI",Plastic goods,straw,straw,221.3,20
"Qargo Coffee Detroit, MI",Specialty Milk,Almond Milk,ml,621.214715,20
"Qargo Coffee Detroit, MI",Specialty Milk,Coconut Milk,ml,447.75757675000006,20
"Qargo Coffee Detroit, MI",Syrups,Chocolate Sauce,pump,223.85,20
"Qargo Coffee Detroit, MI",Syrups,Coconut Syrup,pump,43.5,20
"Qargo Coffee Detroit, MI",Syrups,Dragon Fruit Syrup,pump,51.6,20
"Qargo Coffee Detroit, MI",Syrups,Hazelnut Syrup,pump,19.63157894736842,20
"Qargo Coffee Detroit, MI",Syrups,Sweetner syrup (optional),pump,111.05,20
"Qargo Coffee Detroit, MI",Syrups,Syrup (Customer's Choice),pump,90.1,20
"Qargo Coffee Detroit, MI",Syrups,Syrup (Optional),pump,1793.3,20
"Qargo Coffee Edinburg, TX",Coffee,,g,27625.795000000002,20
"Qargo Coffee Edinburg, TX",Coffee,,ml,24773.9143165,20
"Qargo Coffee Edinburg, TX",Dairy,Coconut Cold Foam,ml,980.952995,20
"Qargo Coffee Edinburg, TX",Dairy,Cold Cappuccino Foam,ml,113.917122,20
"Qargo Coffee Edinburg, TX",Dairy,Cold Milk,ml,59474.2307775,20
"Qargo Coffee Edinburg, TX",Dairy,Cream Base,g,11.235,20
"Qargo Coffee Edinburg, TX",Dairy,Greek Yogurt,g,10.058,20
"Qargo Coffee Edinburg, TX",Dairy,Milk,ml,82989.414468125,20
"Qargo Coffee Edinburg, TX",Dairy,Whipped Cream,ml,5.631578947368421,20
"Qargo Coffee Edinburg, TX",Dairy,Whipped Cream (Optional),ml,85.6535,20
"Qargo Coffee Edinburg, TX",Plastic goods,cup_12oz,cup,26.9,20
"Qargo Coffee Edinburg, TX",Plastic goods,cup_16oz,cup,236.8,20
"Qargo Coffee Edinburg, TX",Plastic goods,cup_20oz,cup,265.95,20
"Qargo Coffee Edinburg, TX",Plastic goods,cup_24oz,cup,71.05,20
"Qargo Coffee Edinburg, TX",Plastic goods,lid,lid,600.7,20
"Qargo Coffee Edinburg, TX",Plastic goods,napkin,napkin,560.0,20
"Qargo Coffee Edinburg, TX",Plastic goods,sleeve,sleeve,247.55,20
"Qargo Coffee Edinburg, TX",Plastic goods,straw,straw,298.75,20
"Qargo Coffee Edinburg, TX",Specialty Milk,Almond Milk,ml,645.530358,20
"Qargo Coffee Edinburg, TX",Specialty Milk,Coconut Milk,ml,404.33546388888885,20
"Qargo Coffee Edinburg, TX",Syrups,Chocolate Sauce,pump,193.6,20
"Qargo Coffee Edinburg, TX",Syrups,Cinnamon Syrup,pump,3.0,20
"Qargo Coffee Edinburg, TX",Syrups,Coconut Syrup,pump,62.05,20
"Qargo Coffee Edinburg, TX",Syrups,Dragon Fruit Syrup,pump,75.4,20
"Qargo Coffee Edinburg, TX",Syrups,Ginger Syrup,pump,3.0,20
"Qargo Coffee Edinburg, TX",Syrups,Hazelnut Syrup,pump,20.4,20
"Qargo Coffee Edinburg, TX",Syrups,Pure Cane Syrup,pump,5.0,20
"Qargo Coffee Edinburg, TX",Syrups,Rose Syrup,pump,6.4,20
"Qargo Coffee Edinburg, TX",Syrups,Sweetner syrup (optional),pump,171.05,20
"Qargo Coffee Edinburg, TX",Syrups,Syrup (Customer's Choice),pump,60.35,20
"Qargo Coffee Edinburg, TX",Syrups,Syrup (Optional),pump,1409.55,20
"Qargo Coffee Edinburg, TX",Syrups,Vanilla Syrup,pump,7.6923076923076925,20
"Qargo Coffee Grand Prairie, TX",Coffee,,g,26625.262692307697,13
"Qargo Coffee Grand Prairie, TX",Coffee,,ml,25495.17330307692,13
"Qargo Coffee Grand Prairie, TX",Dairy,Coconut Cold Foam,ml,4641.067933333334,13
"Qargo Coffee Grand Prairie, TX",Dairy,Cold Cappuccino Foam,ml,155.78409846153846,13
"Qargo Coffee Grand Prairie, TX",Dairy,Cold Milk,ml,39481.53245384616,13
"Qargo Coffee Grand Prairie, TX",Dairy,Cream Base,g,15.91625,13
"Qargo Coffee Grand Prairie, TX",Dairy,Greek Yogurt,g,14.088333333333333,13
"Qargo Coffee Grand Prairie, TX",Dairy,Milk,ml,100659.65180826923,13
"Qargo Coffee Grand Prairie, TX",Dairy,Whipped Cream,ml,7.489999999999999,13
"Qargo Coffee Grand Prairie, TX",Dairy,Whipped Cream (Optional),ml,102.06153846153846,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,cup_12oz,cup,31.692307692307693,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,cup_16oz,cup,239.69230769230768,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,cup_20oz,cup,259.0,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,cup_24oz,cup,53.15384615384615,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,lid,lid,583.5384615384615,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,napkin,napkin,555.3076923076923,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,sleeve,sleeve,256.0,13
"Qargo Coffee Grand Prairie, TX",Plastic goods,straw,straw,282.6923076923077,13
"Qargo Coffee Grand Prairie, TX",Specialty Milk,Almond Milk,ml,711.9820125,13
"Qargo Coffee Grand Prairie, TX",Specialty Milk,Coconut Milk,ml,296.65917187499997,13
"Qargo Coffee Grand Prairie, TX",Syrups,Chocolate Sauce,pump,211.69230769230768,13
"Qargo Coffee Grand Prairie, TX",Syrups,Coconut Syrup,pump,253.0,13
"Qargo Coffee Grand Prairie, TX",Syrups,Dragon Fruit Syrup,pump,69.76923076923077,13
"Qargo Coffee Grand Prairie, TX",Syrups,Hazelnut Syrup,pump,22.5,13
"Qargo Coffee Grand Prairie, TX",Syrups,Sweetner syrup (optional),pump,67.92307692307692,13
"Qargo Coffee Grand Prairie, TX",Syrups,Syrup (Customer's Choice),pump,102.46153846153847,13
"Qargo Coffee Grand Prairie, TX",Syrups,Syrup (Optional),pump,1199.8461538461538,13
"Qargo Coffee Grand Prairie, TX",Syrups,Vanilla Syrup,pump,2.0,13
"Qargo Coffee Las Vegas, NV",Coffee,,g,19959.334166666667,12
"Qargo Coffee Las Vegas, NV",Coffee,,ml,20276.559830833332,12
"Qargo Coffee Las Vegas, NV",Dairy,Coconut Cold Foam,ml,2555.22433375,12
"Qargo Coffee Las Vegas, NV",Dairy,Cold Cappuccino Foam,ml,262.1902014285714,12
"Qargo Coffee Las Vegas, NV",Dairy,Cold Milk,ml,35251.02053,12
"Qargo Coffee Las Vegas, NV",Dairy,Cream Base,g,29.543888888888887,12
"Qargo Coffee Las Vegas, NV",Dairy,Greek Yogurt,g,35.31,12
"Qargo Coffee Las Vegas, NV",Dairy,Milk,ml,56883.76693,12
"Qargo Coffee Las Vegas, NV",Dairy,Whipped Cream,ml,1.498,12
