product_name,size,cup,lid,napkin,straw,sleeve,bag,other
Caffé Latte,16oz,1,1,1,0,1,0,
Caffé Latte,20oz,1,1,1,0,1,0,
Caffé Latte,24oz,1,1,1,0,1,0,
Drip Coffee,16oz,1,1,1,0,1,0,
Drip Coffee,20oz,1,1,1,0,1,0,
Drip Coffee,24oz,1,1,1,0,1,0,
Cappuccino,16oz,1,1,1,0,1,0,
Cappuccino,20oz,1,1,1,0,1,0,
Cappuccino,24oz,1,1,1,0,1,0,
Caffé Americano,16oz,1,1,1,0,1,0,
Caffé Americano,20oz,1,1,1,0,1,0,
Caffé Americano,24oz,1,1,1,0,1,0,
Mocha,16oz,1,1,1,0,1,0,
Mocha,20oz,1,1,1,0,1,0,
Mocha,24oz,1,1,1,0,1,0,
White Mocha,16oz,1,1,1,0,1,0,
White Mocha,20oz,1,1,1,0,1,0,
White Mocha,24oz,1,1,1,0,1,0,
Latte Macchiato,16oz,1,1,1,0,1,0,
Latte Macchiato,20oz,1,1,1,0,1,0,
Latte Macchiato,24oz,1,1,1,0,1,0,
Chai Tea Latte,16oz,1,1,1,0,1,0,
Chai Tea Latte,20oz,1,1,1,0,1,0,
Chai Tea Latte,24oz,1,1,1,0,1,0,
Matcha Latte,16oz,1,1,1,0,1,0,
Matcha Latte,20oz,1,1,1,0,1,0,
Matcha Latte,24oz,1,1,1,0,1,0,
Hot Chocolate,16oz,1,1,1,0,1,0,
Hot Chocolate,20oz,1,1,1,0,1,0,
Hot Chocolate,24oz,1,1,1,0,1,0,
Flat White,16oz,1,1,1,0,1,0,
Flat White,20oz,1,1,1,0,1,0,
Flat White,24oz,1,1,1,0,1,0,
Caffé Au Lait,16oz,1,1,1,0,1,0,
Caffé Au Lait,20oz,1,1,1,0,1,0,
Caffé Au Lait,24oz,1,1,1,0,1,0,
Iced Latte,16oz,1,1,1,1,0,0,
Iced Latte,20oz,1,1,1,1,0,0,
Iced Latte,24oz,1,1,1,1,0,0,
Iced Coffee,16oz,1,1,1,1,0,0,
Iced Coffee,20oz,1,1,1,1,0,0,
