product_name,category,ingredient,unit,size,quantity
Caffé Latte,01. Hot Classics,Espresso,Shot,size_1,2 Standard
Caffé Latte,01. Hot Classics,Espresso,Shot,size_2,2 Lungo
Caffé Latte,01. Hot Classics,Espresso,Shot,size_3,3 Standard
Caffé Latte,01. Hot Classics,Milk,Oz,size_1,12
Caffé Latte,01. Hot Classics,Milk,Oz,size_2,14
Caffé Latte,01. Hot Classics,Milk,Oz,size_3,16
Caffé Latte,01. Hot Classics,Syrup (Optional),Pump,size_1,4
Caffé Latte,01. Hot Classics,Syrup (Optional),Pump,size_2,5
Caffé Latte,01. Hot Classics,Syrup (Optional),Pump,size_3,6
Drip Coffee,01. Hot Classics,Syrup (Optional),Pump,size_1,4
Drip Coffee,01. Hot Classics,Syrup (Optional),Pump,size_2,5
Drip Coffee,01. Hot Classics,Syrup (Optional),Pump,size_3,6
Cappuccino,01. Hot Classics,Espresso,Shot,size_1,2 Standard
Cappuccino,01. Hot Classics,Espresso,Shot,size_2,2 Lungo
Cappuccino,01. Hot Classics,Espresso,Shot,size_3,3 Standard
Cappuccino,01. Hot Classics,Milk,Oz,size_1,6
Cappuccino,01. Hot Classics,Milk,Oz,size_2,8
Cappuccino,01. Hot Classics,Milk,Oz,size_3,10
Cappuccino,01. Hot Classics,Syrup (Optional),Pump,size_1,4
Cappuccino,01. Hot Classics,Syrup (Optional),Pump,size_2,5
Cappuccino,01. Hot Classics,Syrup (Optional),Pump,size_3,6
Caffé Americano,01. Hot Classics,Hot Water,Oz,size_1,12
Caffé Americano,01. Hot Classics,Hot Water,Oz,size_2,15
Caffé Americano,01. Hot Classics,Hot Water,Oz,size_3,18
Caffé Americano,01. Hot Classics,Espresso,Shot,size_1,3 Standard
Caffé Americano,01. Hot Classics,Espresso,Shot,size_2,4 Standard
Caffé Americano,01. Hot Classics,Espresso,Shot,size_3,5 Standard
Mocha,01. Hot Classics,Espresso,Shot,size_1,2 Standard
Mocha,01. Hot Classics,Espresso,Shot,size_2,2 Lungo
Mocha,01. Hot Classics,Espresso,Shot,size_3,3 Standard
Mocha,01. Hot Classics,Chocolate Sauce,Pump,size_1,2
Mocha,01. Hot Classics,Chocolate Sauce,Pump,size_2,3
Mocha,01. Hot Classics,Chocolate Sauce,Pump,size_3,4
Mocha,01. Hot Classics,Milk,Oz,size_1,10
Mocha,01. Hot Classics,Milk,Oz,size_2,12
Mocha,01. Hot Classics,Milk,Oz,size_3,14
Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_1,1
Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_2,1
Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_3,1
White Mocha,01. Hot Classics,Espresso,Shot,size_1,2 Standard
White Mocha,01. Hot Classics,Espresso,Shot,size_2,2 Lungo
White Mocha,01. Hot Classics,Espresso,Shot,size_3,3 Standard
White Mocha,01. Hot Classics,White Chocolate Sauce,Pump,size_1,2
White Mocha,01. Hot Classics,White Chocolate Sauce,Pump,size_2,3
White Mocha,01. Hot Classics,White Chocolate Sauce,Pump,size_3,4
White Mocha,01. Hot Classics,Milk,Oz,size_1,10
White Mocha,01. Hot Classics,Milk,Oz,size_2,12
White Mocha,01. Hot Classics,Milk,Oz,size_3,14
White Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_1,1
White Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_2,1
White Mocha,01. Hot Classics,Whipped Cream (Optional),Rosette,size_3,1
Latte Macchiato,01. Hot Classics,Syrup (Optional),Pump,size_1,4
Latte Macchiato,01. Hot Classics,Syrup (Optional),Pump,size_2,5
Latte Macchiato,01. Hot Classics,Syrup (Optional),Pump,size_3,6
Latte Macchiato,01. Hot Classics,Milk,Oz,size_1,12
Latte Macchiato,01. Hot Classics,Milk,Oz,size_2,14
Latte Macchiato,01. Hot Classics,Milk,Oz,size_3,16
Latte Macchiato,01. Hot Classics,Espresso,Shot,size_1,2 Standard
Latte Macchiato,01. Hot Classics,Espresso,Shot,size_2,2 Lungo
Latte Macchiato,01. Hot Classics,Espresso,Shot,size_3,3 Standard
Chai Tea Latte,01. Hot Classics,Chai Tea Concentrate,Pump,size_1,5
Chai Tea Latte,01. Hot Classics,Chai Tea Concentrate,Pump,size_2,6
Chai Tea Latte,01. Hot Classics,Chai Tea Concentrate,Pump,size_3,7
Chai Tea Latte,01. Hot Classics,Milk,Oz,size_1,12
Chai Tea Latte,01. Hot Classics,Milk,Oz,size_2,15
Chai Tea Latte,01. Hot Classics,Milk,Oz,size_3,18
Matcha Latte,01. Hot Classics,Matcha (Culinary Grade),Tsp,size_1,3
Matcha Latte,01. Hot Classics,Matcha (Culinary Grade),Tsp,size_2,4
Matcha Latte,01. Hot Classics,Matcha (Culinary Grade),Tsp,size_3,5
Matcha Latte,01. Hot Classics,Hot Water,Oz,size_1,2
Matcha Latte,01. Hot Classics,Hot Water,Oz,size_2,2
Matcha Latte,01. Hot Classics,Hot Water,Oz,size_3,2
Matcha Latte,01. Hot Classics,Syrup (Optional),Pump,size_1,3
Matcha Latte,01. Hot Classics,Syrup (Optional),Pump,size_2,3
Matcha Latte,01. Hot Classics,Syrup (Optional),Pump,size_3,4
Matcha Latte,01. Hot Classics,Milk,Oz,size_1,13
Matcha Latte,01. Hot Classics,Milk,Oz,size_2,16
Matcha Latte,01. Hot Classics,Milk,Oz,size_3,19
Hot Chocolate,01. Hot Classics,Chocolate Sauce,Pump,size_1,2
Hot Chocolate,01. Hot Classics,Chocolate Sauce,Pump,size_2,3
Hot Chocolate,01. Hot Classics,Chocolate Sauce,Pump,size_3,4
Hot Chocolate,01. Hot Classics,Milk,Oz,size_1,9
Hot Chocolate,01. Hot Classics,Milk,Oz,size_2,12
Hot Chocolate,01. Hot Classics,Milk,Oz,size_3,15
Hot Chocolate,01. Hot Classics,Whipped Cream (Optional),Rosette,size_1,1
Hot Chocolate,01. Hot Classics,Whipped Cream (Optional),Rosette,size_2,1
Hot Chocolate,01. Hot Classics,Whipped Cream (Optional),Rosette,size_3,1
Flat White,01. Hot Classics,Espresso,Shot,size_1,2 Standard
Flat White,01. Hot Classics,Milk,Oz,size_1,5
Caffé Au Lait,01. Hot Classics,Brewed Coffee,Oz,size_1,8
